,Question,Type,category_id
50,Are ultraconserved elements often transcribed?,yesno,2
51,What is the methyl donor of DNA (cytosine-5)-methyltransferases?,factoid,3
52,Is peripheral neuroepithelioma related to Ewing sarcoma?,yesno,2
53,Which signaling pathway does sonidegib inhibit?,factoid,3
54,In which phase of the cell cycle arrest is impaired in Fanconi anemia?,factoid,3
55,Which DNA sequences are more prone for the formation of R-loops?,list,1
56,Mutation of which gene is implicated in the familial isolated pituitary adenoma?,factoid,3
57,which mutations of troponin C gene have been found to cause hypertrophic cardiomyopathy?,list,1
58,What is known about the effect of acupuncture in smoking cessation ?,summary,0
59,Which post-translational histone modifications are characteristic of constitutive heterochromatin?,list,1
60,GV1001 vaccine targets which enzyme?,factoid,3
61,Which is the E3 ubiquitin ligase which ubiquitinates IkB leading to its proteasomal degradation?,factoid,3
62,Is c-met involved in the activation of the Akt pathway?,yesno,2
63,Is pregnancy an additional risk during during H1N1 infection?,yesno,2
64,Is there a crystal structure of Greek Goat Encephalitis?,yesno,2
65,Are long non coding RNAs as conserved in sequence as protein coding genes?,yesno,2
66,Mutation of which gene is implicated in the Brain-lung-thyroid syndrome?,factoid,3
67,What is clathrin?,summary,0
68,What are the main results of PRKAR1A Knockdown?,summary,0
69,Is TENS machine effective in pain?,yesno,2
70,Is there any algorithm for enhancer identification from chromatin state?,yesno,2
71,Which enzyme is targeted by the drug Imetelstat?,factoid,3
72,Which interleukins are inhibited by Dupilumab?,list,1
73,Which human genes are more commonly related to craniosynostosis?,list,1
74,Are transcribed ultraconserved regions involved in cancer?,yesno,2
75,In which breast cancer patients can palbociclib be used?,factoid,3
76,Do patients with Pendred syndrome present congenital deafness?,yesno,2
77,List side effects of SGLT2 inhibitors?,list,1
78,Is CD56 useful in Ewing sarcoma prognosis?,yesno,2
79,What is the method FASP used for?,factoid,3
80,What is the role of extracellular signal-related kinases 1 and 2 (ERK1/2) proteins in craniosynostosis?,summary,0
81,Are there any urine biomarkers for chronic kidney disease?,yesno,2
82,What is being measured with an accelerometer in back pain patients,list,1
83,List the releases of JASPAR database,list,1
84,List symptoms of the IFAP syndrome.,list,1
85,Which gene is required for the efficient function of clopidogrel?,factoid,3
86,Is valproic acid effective for glioblastoma treatment?,yesno,2
87,Which transcription factor is considered as a master regulator of lysosomal genes?,factoid,3
88,Which antibiotics target peptidoglycan biosynthesis?,list,1
89,Can Levoxyl (levothyroxine sodium) cause insomnia?,yesno,2
90,Is fatigue prevalent in patients receiving treatment for glioblastoma?,yesno,2
91,List two common features of Tay syndrome.,list,1
92,Which cell types are known to be driving Rheumatoid Arthritis?,list,1
93,What is the association between personality trait of neuroticism and risk for Alzheimer's disease?,summary,0
94,What is the mode of action of everolimus?,summary,0
95,Have Quantitative Trait Loci affecting splicing (splicing QTLs) been linked to disease?,yesno,2
96,Which technique is used for detection of EWS/FLI1 fusion transcripts?,factoid,3
97,Does the CTCF protein co-localize with cohesin?,yesno,2
98,What is the application of the Bimolecular Fluorescence Complementation (BiFC) assay in Drosophila embryos?,factoid,3
99,Which pathological condition of the heart is known as hypertrophic cardiomyopathy (HCM)?,summary,0
100,What is the genetic basis of Rubinstein-Taybi syndrome?,factoid,3
101,What is the function of the viral KP4 protein?,summary,0
102,What is the function of the AIRE gene at the embryonic stage?,factoid,3
103,What is the principle of the PAR-CLIP methodology?,summary,0
104,Which drugs are utilized to treat amiodarone-induced thyroitoxicosis?,list,1
105,How is spastic diplegia diagnosed?,summary,0
106,Which is the genetic defect causing Neurofibromatosis type 1?,factoid,3
107,Which is the human selenoprotein that contains several Se-Cys residues?,factoid,3
108,Which package is available for analysing genomic interactions in R/Bioconductor?,factoid,3
109,How many clinical trials for off-label drugs in neonates are cited in the literature.,factoid,3
110,Are stress granules involved in the pathogenesis of Amyotrophic Lateral Sclerosis?,yesno,2
111,Does TGF-beta play a role in cardiac regeneration after myocardial infarction?,yesno,2
112,Is there a genetic component for happiness?,summary,0
113,What enzyme is inhibied by Opicapone?,factoid,3
114,What kind of affinity purification would you use in order to isolate soluble lysosomal proteins?,summary,0
115,Which are the genes thought to be regulated by EWS/FLI?,list,1
116,Do archaeal genomes contain one or multiple origins of replication?,factoid,3
117,Which pathological conditions are caused by mutations in the CYLD gene?,list,1
118,Which is the genetic basis of Spinal Muscular Atrophy (SMA)?,factoid,3
119,Which are the common symptoms of Cushing's syndrome?,list,1
120,Which is the third subunit of the TSC1-TSC2 complex upstream of mTORC1?,factoid,3
121,Which kinase is inhibited by the small molecule KN-93?,factoid,3
122,What is the effect of Chk2 splice variants on wild-type Chk2 kinase activity?,summary,0
123,List genes that have been found mutated in CMT1A (Charcot-Marie-Tooth disease type 1 A).,list,1
124,Which viruses are best known to cause myocarditis?,list,1
125,Which genes have been associated with Cerebral Cavernous Malformation?,list,1
126,Is DITPA a thyroid hormone analog utilized in experimental and clinical studies,yesno,2
127,What is Tarlov Cyst?,summary,0
128,"What are 'vildagliptin', 'sitagliptin', 'saxagliptin', 'alogliptin', 'linagliptin', and 'dutogliptin'?",factoid,3
129,Which is the most important prognosis sub-classification in Chronic Lymphocytic Leukemia?,factoid,3
130,Is MammaPrint cleared by the United States Food and Drug Administration?,yesno,2
131,Is amantadine effective for treatment of disorders conciousness?,yesno,2
132,What is needed for MMP proteins to be functional?,factoid,3
133,What is hyperosmia,factoid,3
134,What is the number of long non coding RNAs in the human genome,factoid,3
135,Which is the most known bacterium responsible for botulism (sausage-poisoning)?,factoid,3
136,What is the association of spermidine with \u03b1-synuclein neurotoxicity?,factoid,3
137,List symptoms of 4H leukodystrophy.,list,1
138,"What is the extracellular core \""matrisome\""?",summary,0
139,Is GAGA associated with nucleosome-free regions (NFR)?,yesno,2
140,Which are the plant DNA (cytosine-5) methyltransferase families?,list,1
141,Where is the histone variant CENPA preferentially localized?,factoid,3
142,In which proteins is the chromodomain present?,list,1
143,What is Genomicus?,summary,0
144,Is amiodarone a class I anti-arrhythmic drug?,yesno,2
145,Which is the prognostic meaning of delayed enhancement documented in patients hypertrophic cardiomyopathy?,factoid,3
146,What is the COUGER tool?,summary,0
147,Are there drugs for Tick-borne Encephalitis?,list,1
148,Is SLC22A3 expressed in the brain?,yesno,2
149,Has the protein TIEG1 been associated with apoptosis?,yesno,2
150,Which is the cellular localization of the protein Opa1?,factoid,3
151,Which are the drugs utilized for the burning mouth syndrome?,list,1
152,Is PTEN involved in follicular thyroid carcinoma?,yesno,2
153,Which genome browser database for DNA shape annotations is available?,factoid,3
154,What is known about clinical efficacy of ceftriaxone for treatment of amyotrophic lateral sclerosis?,summary,0
155,What is the relationship between TailorX and Oncotype?,summary,0
156,Does strenuous physical activity affect thyroid hormone metabolism?,yesno,2
157,"Which is the main function of \""RNA sponges\""?",summary,0
158,Is the gene MAOA epigenetically modified by methylation?,yesno,2
159,Which mutations of phopspholamban have been found in patients with cardiomyopathy?,list,1
160,Which are the supplemental antioxidant in athletes?,list,1
161,Is glycyl-tRNA synthetase gene involved in the development of Charcot-Marie-Tooth disease?,yesno,2
162,Is there any software for automated analysis of FISH images?,yesno,2
163,How do histone methyltransferases cause histone modification?,summary,0
164,Is there an increased risk for cancer in Dyskeratosis Congenita?,yesno,2
165,Does MicroRNA-21 (miR-21) contribute to cardiovascular disease?,yesno,2
166,What is the enzymatic activity of the breast cancer associated gene BRCA1?,factoid,3
167,List markers for autophagy.,list,1
168,Are there any statistical methods for normalizing and identifying differential regions in histone modification ChIP-seq data?,yesno,2
169,Is CD84 genetically associated with arthritis?,yesno,2
170,What is the function of Neu5Gc (N-Glycolylneuraminic acid)?,factoid,3
171,Are there any specific antidotes for rivaroxaban?,yesno,2
172,Which metabolite activates AtxA?,factoid,3
173,What is the function of 6SRNA in bacteria?,summary,0
174,Is cytisine superior to nicotine replacement therapy for smoking cessation?,yesno,2
175,Which amino acid residue appears mutated in most of the cases reported with  cadasil syndrome?,factoid,3
176,Which syndromes are associated with mutations in the EZH2 gene?,list,1
177,Which databases exist for experimentally determined topologies of \u03b1-helical transmembrane proteins ?,list,1
178,Which disease is characterized by congenital absence of intrinsic ganglion cells of the gastrointestinal tract?,factoid,3
179,"What is the disease in which patients are sensitive to DNA crosslinking agents, presenting with a high frequency of chromosomal aberrations?",factoid,3
180,How is oprozomib administered?,factoid,3
181,What is a Caveolae?,summary,0
182,Which are the roles of chromatin compartments in the eukaryotic nucleus?,list,1
183,Is the abnormal dosage of ultraconserved elements disfavored in cancer cells?,yesno,2
184,Does thyroid hormone regulate calcium transient in the myocardium?,yesno,2
185,What are the biological roles proposed for proteins containing the SPRY domain?,list,1
186,How could we infer functional associations from gene fusion events?,summary,0
187,The protein NONO forms heterodimers. With which proteins?,list,1
188,Which syndrome is associated with mutant DVL1?,factoid,3
189,Are proteasome inhibitors good candidates for treatment of leukemia and solid tumors?,yesno,2
190,Is there any link between CTF4 and CTF18 during sister chromatid cohesion?,yesno,2
191,What is the Genomic Regions Enrichment of Annotations Tool (GREAT)?,summary,0
192,What is the target of the drug Olaparib?,factoid,3
193,Are thyroid hormone receptor alpha1 mutations implicated in thyroid hormone resistance syndrome?,yesno,2
194,What is the role of RhoA in bladder cancer?,summary,0
195,What is ATAC-seq?,summary,0
196,List human proteins that are subject to a dimer-to-tetramer transition.,list,1
197,Inhibition of which transporter is the mechanism of action of drug Canagliflozin?,factoid,3
198,What is the prognostic role of thyroid hormone in patients with heart failure?,summary,0
199,which mutations of phospholamban gene have been found to cause hypertrophic cardiomyopathy?,list,1
200,Which gene strand is targeted by transcription-coupled repair (TCR)?,factoid,3
201,Abnormalities in which chromosomes were linked to the Moyamoya disease?,list,1
202,Which is the branch site consensus sequence in U12-dependent introns?,factoid,3
203,For what is Protein A from Staphylococcus aureus used in biochemistry?,summary,0
204,What is the suggested therapy for Mycobacterium avium infection?,summary,0
205,What is the treatment of acute pericarditis?,summary,0
206,What is the genetic basis of tuberous sclerosis?,factoid,3
207,What is the molecular function of the Chd1 protein?,factoid,3
208,Which drugs are included in the FEC-75 regimen?,list,1
209,Between which probes does the recurrent translocation breakpoint on chromosome 22 of neuroepithelioma lie?,list,1
210,Does administration of triiodothyronine improve outcome following coronary artery bypass grafting?,yesno,2
211,Which are the most widely used computational methods for the identification of CRMs (cis-regulatory modules)?,list,1
212,Which enzyme does MLN4924 inhibit?,factoid,3
213,Which protein has been found to interact with phospholamban (PLN) and is also an anti-apoptotic protein?,factoid,3
214,Is long QT syndrome a cause for sudden cardiac death in athletes?,yesno,2
215,What is the clinical value of MammaPrint?,summary,0
216,Is protein M3/6 a dual specificity phosphatase?,yesno,2
217,Are there focused databases from which you can retrieve gene expression data on renal disease?,yesno,2
218,What systems have been developed for the numbering of antibody residues?,summary,0
219,Are there any DNMT3 proteins present in plants?,yesno,2
220,What is the number of protein coding genes in the human genome?,factoid,3
221,Has vitamin D has been shown to reduce incidence of falls in older people in clinical trials?,yesno,2
222,What is the indication for prophylactic use of antibiotics in COPD?,factoid,3
223,Has depression been shown to be a predictor of frailty?,yesno,2
224,What is the generic name of Gliolan?,factoid,3
225,Is there any association between Jarid2 and miR-155 in Th17 cells?,yesno,2
226,What is enCHIP?,summary,0
227,How many genes does the human hoxD cluster contain?,factoid,3
228,Is it safe to take isotretinoin during pregnancy?,yesno,2
229,Which protein is the E3-ubiquitin ligase that targets the tumor suppressor p53 for proteasomal degradation?,factoid,3
230,Can DNA intercalators function as topoisomerase inhibitors?,yesno,2
231,Which diseases is microRNA 132 (miR-132) implicated in?,list,1
232,Which are the human glutamate transporters?,list,1
233,What are the functions of sorting nexin 27?,summary,0
234,Do orphan and gene related CpG islands follow power-law-like distributions?,yesno,2
235,What is the proportion of non canonical splice sites in the human genome?,factoid,3
236,List protein gel staining methods visualizing the entire protein set.,list,1
237,What clinical use aptamers may have?,summary,0
238,"What is the causative agent of the \""Panama disease\"" affecting bananas?",factoid,3
239,What is the mechanism of action of Nalmefene?,summary,0
240,Synostosis of which cranial structures are characteristic to the Mercedes Benz syndrome?,list,1
241,Can valproic acid act as an activator of AMPK?,yesno,2
242,Which signaling pathways have been associated with medulloblastoma formation and growth?,list,1
243,What is the role of invadopodia in EMT?,summary,0
244,What are cancer driver genes?,summary,0
245,What is a mitochondrial nucleoid?,summary,0
246,What is the treatment of amiodarone-induced thyrotoxicosis?,summary,0
247,How does exercise affect thyroid hormone receptors expression in the heart?,summary,0
248,Is the Drosophila Translational Control Element (TCE) involved in spermatogenesis?,yesno,2
249,What are the symptoms of abacavir hypersensitivity?,list,1
250,What is the effect of ivabradine in heart failure with preserved ejection fraction?,summary,0
251,Is low T3 syndrome a prognostic marker in patients with renal insufficiency?,yesno,2
252,Does burning mouth syndrome preferentially affect post-mepopausal women?,yesno,2
253,Which biomarker is widely used in the diagnosis of Ewing sarcoma?,factoid,3
254,Proteomic analyses have revealed proteins associated with the triple-negative breast cancers. List some proposed proteins.,list,1
255,Which signalling pathway is involved in Tuberous Sclerosis?,factoid,3
256,Can life style changes reduce oxidative stress,yesno,2
257,Which is the relation between sweating and anaerobic threshold?,factoid,3
258,Name monoclonal antibody against SLAMF7.,factoid,3
259,What is the mode of action of bedaquiline?,summary,0
260,Does helicobacter pylori infection increase risk for ischemic stroke?,summary,0
261,Which are the major types of the motor speech disorder dysarthria?,list,1
262,Is oxidative stress affected by FOXO expression?,yesno,2
263,Describe the mechanism of action of the LINX system for treatment of gastroesophageal reflux disease.,summary,0
264,Which enzyme deficiency can cause GM1 gangliosidoses?,factoid,3
265,What is the characteristic feature of the Dyke-Davidoff-Masson syndrome.,factoid,3
266,Which gene is involved in the development of Barth syndrome?,factoid,3
267,What is the treatment of subacute thyroiditis?,summary,0
268,What are the effects of BMAL1 deficiency?,summary,0
269,Which histone modifications are associated with Polycomb group (PcG) proteins?,list,1
270,Where is the protein CLIC1 localized?,summary,0
271,List phosphorylation consensus motifs for Casein Kinase 1 (CK1)?,list,1
272,What medication were compared in the ROCKET AF Trial?,list,1
273,Describe the usefulness of the SPIKE database in human signaling pathways,summary,0
274,Is the Dictyostelium discoideum proteome known?,yesno,2
275,List proteins of lipids droplets,list,1
276,What is the Barr body?,summary,0
277,Is single-cell analysis (SCA) possible in proteomics?,yesno,2
278,Is shotgun lipidomics the direct infusion of a lipid sample into a mass spectrometer?,yesno,2
279,How many genes are in the gene signature screened by MammaPrint?,factoid,3
280,Is apixaban effective for treatment of acute venous thromboembolism?,yesno,2
281,Is the tricarboxylic acid (TCA) cycle affected in inflammation?,yesno,2
282,What are the indications for treatment with anti-hepcidin?,list,1
283,How many genera comprise the Flaviviridae family?,factoid,3
284,Are reduced-nicotine cigarettes effective for smoking cessation?,yesno,2
285,Is the Wnt protein modified by notum?,yesno,2
286,List functions that are evaluated with the Full Outline of Unresponsiveness score?,list,1
287,For the constructions of which organs has 3D printing been tested?,list,1
288,Is ospemifene effective for treatment of dyspareunia?,yesno,2
289,Is pregabalin effective for treatment of patients with restless leg syndrome?,yesno,2
290,What is the biological role of expansins in fungi?,summary,0
291,Can zinc finger nucleases be used to combat disease?,yesno,2
292,What is known about depression in acoustic neuroma patients?,summary,0
293,Mutation of which gene is associated with Achondroplasia?,factoid,3
294,What is the mode of action of Hsp90 inhibitors?,summary,0
295,Is RET the major gene involved in Hirschsprung disease?,yesno,2
296,Which type of lung cancer is the most strongly associated with Lambert-Eaton syndrome?,factoid,3
297,What distinguishes lantibiotics from antibiotics?,factoid,3
298,List three major features of the CCFDN syndrome.,list,1
299,is intense physical activity associated with longevity ?,yesno,2
300,Are cyclophilins proteins that bind to prolines?,yesno,2
301,Can a given genotype exhibit opposite fitness effects (beneficial and detrimental) within the same environment?,yesno,2
302,Has the protein SETMAR (Metnase) a transposase domain?,yesno,2
303,Is alternative splicing of apoptotic genes playing a role in the response to DNA or mitochondrial damage?,yesno,2
304,Which oncogenes are able to induce cellular senescence?,list,1
305,What is HbVar?,summary,0
306,Can DMSO as an additive improve proteomic analysis results?,summary,0
307,The antibodies MK-3475 and CT-011 have shown promising results in treating malignancies. Which protein are they targeting?,factoid,3
308,Which are the different proteins/isoforms encoded but the ASPH (aspartate beta-hydroxylase) gene in humans?,list,1
309,List processes which are under the control of the YAP protein.,list,1
310,What family do mDia proteins belong in?,factoid,3
311,Is nucleosome eviction ATP-dependent?,yesno,2
312,Is TREM2 associated with Alzheimer's disease in humans?,yesno,2
313,"Which is the most common measure of differences between dinucleotide relative abundance \""genomic signatures\""",factoid,3
314,Name a method for enrichment of arginine-methylated peptides.,factoid,3
315,"Why do we use \""N-terminal proteomics\""?",summary,0
316,List omics technologies comprised in system biology.,list,1
317,Rindopepimut is an analog of which growth factor?,factoid,3
318,Which gene mutations are responsible for isolated Non-compaction cardiomyopathy?,list,1
319,From which tissue was the NCI-H520 cell-line derived?,factoid,3
320,Have mutations in the Polycomb group been found in human diseases?,yesno,2
321,Describe the mechanism of action of drisapersen,summary,0
322,Is microRNA(miRNA) 29 involved in post-ischemic cardiac remodeling?,yesno,2
323,What is the incidence of Edwards syndrom in the european population?,factoid,3
324,Is exonuclease Xrn1 a component of the P-bodies?,yesno,2
325,What is the substrate of the microbial enzyme inulinase?,factoid,3
326,What is the treatment of acute myocarditis?,list,1
327,List causative genes for autosomal recessive forms of monogenic Parkinson's disease,list,1
328,How does ranolazine affect calcium handling in the heart,summary,0
329,Which is the primary distinction between the Reverse Warburg effect and the conventional Warburg effect?,summary,0
330,What is the role of per genes in circadian rhythm control?,summary,0
331,Can sorafenib activate AMPK?,yesno,2
332,"What tyrosine kinase, involved in a Philadelphia- chromosome positive chronic myelogenous leukemia, is the target of Imatinib (Gleevec)?",factoid,3
333,When was empagliflozin FDA approved?,factoid,3
334,Is Vortioxetine effective for treatment of depression?,yesno,2
335,Which R/bioconductor package is used for integrative genomics visualizations?,factoid,3
336,List symptoms of congenital toxoplasmosis triad.,list,1
337,How many genes are imprinted in the human genome?,factoid,3
338,Is exome sequencing efficient for the detection of germline mutations?,yesno,2
339,Which cellular processes are regulated by Nanog?,list,1
340,In which cells are A-type lamins expressed?,factoid,3
341,What is the definition of autophagy?,summary,0
342,Gene silencing can be achieved by RNA interference (RNAi) in eukaryotic organisms. What is the name of the analogous process in prokaryotic organisms?,factoid,3
343,Between which types of DNA bases are mutational biases introduced due to directional mutation pressure?,summary,0
344,Is it feasible to determine the complete proteome of yeast?,yesno,2
345,Which mutations of alpha-myosin heavy chain gene are implicated in hypertrophic cardiomyopathy?,list,1
346,Which are the cardiac manifestations of Marfan syndrome?,list,1
347,"How is connected \""isolated Non-compaction cardiomyopathy\"" with dilated cardiomyopathy?",factoid,3
348,What is the role of AMPK in diabetic cardiomyopathy?,summary,0
349,Are circRNAs associated with diseases and traits?,yesno,2
350,Which is the most common cause of sudden cardiac death in young athletes?,factoid,3
351,Could the Menzerath-Altmann law be proved mathematically trivial in genomes?,yesno,2
352,What is the rate of survival after commotio cordis?,factoid,3
353,What is the oldest human sample analysed by paleontology proteomics?,summary,0
354,What are the results of loss of the protein Lon1 in the plant Arabidopsis?,list,1
355,Which gene is involved in Giant Axonal Neuropathy?,factoid,3
356,"Are there studies representing the involvement of Notch mutations in neurodegenerative diseases such as Down syndrome, Pick's and Prion's disease, and cadasil syndrome?",yesno,2
357,Are there any functional differences between Mfd and its human Cocaine syndrome protein B (CSB) homolog?,yesno,2
358,What is membrane scission?,summary,0
359,How many TAp73 isoforms have been identified in humans?,factoid,3
360,Is the yeast \u039cac1 transcription factor induced upon copper deficiency?,yesno,2
361,What is the mechanism of DNA replication termination in vertebrates?,summary,0
362,Which are the different members/isoforms of the Ras oncogenes?,list,1
363,Which is the  subcellular localization of ERAP2?,factoid,3
364,Have thyronamines  effects on fat tissue?,yesno,2
365,What are the names of anti-CD52 monoclonal antibody that is used for treatment of multiple sclerosis patients?,list,1
366,Is there a package in R/bioconductor for classification of alternative splicing?,yesno,2
367,Which brain structures have been investigated as potential targets for deep brain stimulation of patients suffering from major depression?,list,1
368,Is alemtuzumab effective for remission induction in patients diagnosed with T-cell prolymphocytic leukemia?,yesno,2
369,What is the association between moon cycle and rupture risk  of intracranial aneurysms?,summary,0
370,Is there an association between TERT promoter mutation and survival of glioblastoma patients?,yesno,2
371,Is bapineuzumab effective for treatment of patients with Alzheimer's disease?,yesno,2
372,Which deiodinase polymorphisms are implicated in arterial hypertension?,list,1
373,At which kind of individuals is pharmacological treatment of subclinical hypothyroidism effective in reducing cardiovascular events?,factoid,3
374,Is intense physical activity associated with longevity?,yesno,2
375,How homoplasy affects phylogenetic reconstruction?,summary,0
376,What is known about the association between the use of selective serotonin reuptake inhibitors during pregnancy and risk for autism in offspring?,summary,0
377,Which transcription factors are involved in E-cadherin repression during EMT?,list,1
378,Is desmin an intermediate filament protein involved in Dilated Cardiomyopathy (DCM)?,yesno,2
379,Is lambrolizumab effective for treatment of patients with melanoma ?,yesno,2
380,List human diseases involving genomic imprinting.,list,1
381,Why are insulators necessary in gene therapy vectors?,summary,0
382,Which deficiency is the cause of restless leg syndrome?,factoid,3
383,What histone modification is recognized by the bromodomain?,factoid,3
384,"What memory problems are reported in the \"" Gulf war syndrome\""?",list,1
385,Is cadasil syndrome a hereditary disease?,yesno,2
386,Which neuroendocrine tumors are associated with specific tumor syndromes?,list,1
387,How many periods of regulatory innovation led to the evolution of vertebrates?,factoid,3
388,Is nintedanib effective for Idiopathic Pulmonary Fibrosis?,yesno,2
389,What is the role of SERCA in diabetic cardiomyopathy?,summary,0
390,Is pesticide exposure associated with polyneuropathy?,yesno,2
391,What is the methodological principle of ChIA-PET?,summary,0
392,Is there an association between borna virus and brain tumor?,yesno,2
393,List medication interfering with purine metabolism that are used for treatment of T-cell prolymphocytic leukemia?,list,1
394,Does PU.1 (SPI1) affect NF-kB binding?,yesno,2
395,Does the majority of the mitochondrial genomes abide to the second parity rule (PR2)?,yesno,2
396,What is the association between h-index and academic rank in academic neurosurgery?,summary,0
397,Is there an association between bruxism and reflux?,yesno,2
398,What is known about the value of mindfulness interventions in prostate cancer patients?,summary,0
399,What is known about prostate cancer screening in the UK ?,summary,0
400,Which hormone abnormalities are common in Williams syndrome ?,factoid,3
401,The secreted frizzled-related protein 3 (sFPR3) is altered in human cancers.\nAre its level found to increase or to decrease?,summary,0
402,Albumin depletion is a common first step for proteomic analysis of CSF fluid. What is the advantage and disadvantage of this procedure?,summary,0
403,How are lincRNA affecting the regulation of gene expression?,summary,0
404,Which is the protein encoded by the human gene GRIK?,factoid,3
405,Which residue of alpha-synuclein was found to be phosphorylated in Lewy bodies?,factoid,3
406,Is paroxetine effective for treatment of premenstrual dysphoric disorder?,yesno,2
407,What is known about thalidomide therapy and survival of glioblastoma patients?,summary,0
408,Is endostatin a proangiogenic factor?,yesno,2
409,List Genes associated with adolescent idiopathic scoliosis,list,1
410,Can botulism poisoning of a pregnant woman harm her fetus?,yesno,2
411,List the off-label use of SSRIs,list,1
412,Which is the definition of pyknons in DNA?,summary,0
413,Does a linker histone exist in the yeast genome?,yesno,2
414,What is the role of deadenylases in the cell?,summary,0
415,What molecule is targeted by brodalumab?,factoid,3
416,"How long, in kb (kilobases),  is a \""Long interspersed nuclear element\""?",factoid,3
417,Which is the gene mutated in type 1 neurofibromatosis?,factoid,3
418,List receptors of the drug Cilengitide,list,1
419,Can protein coding exons originate from ALU sequences?,yesno,2
420,How could U1 small nuclear RNA be used in therapeutics?,summary,0
421,What is the influence of patent expiry on  ACE inhibitor prescribing.,summary,0
422,Is there evidence that tomato juice lowers cholesterol levels?,yesno,2
423,Are there transposon-free regions in mammalian genomes?,yesno,2
424,Are messenger RNA molecules epigenetically methylated?,yesno,2
425,Which genes are more frequently affected by somatic mutations in Chronic Lymphocytic Leukemia,list,1
426,How effective is the dentritic cells treatment on cancer?,summary,0
427,What is the mode of inheritance of nemaline myopathy?,factoid,3
428,Which syndrome is NHE6 associated with?,factoid,3
429,What is known about the reimbursement of Viagra,summary,0
430,Why is lock mass used in Orbitrap measurements?,summary,0
431,Which virus is Cidofovir (Vistide) indicated for?,factoid,3
432,Have gnotobiotic animal models been used for the study of bowel disease?,yesno,2
433,List chromosomes that have been linked to Arnold Chiari syndrome in the literature.,list,1
434,Which translocation is the hallmark of Ewing sarcoma?,factoid,3
435,Is invasion and metastasis one of the hallmarks of cancer?,yesno,2
436,Is it possible to detect survivin protein expression in normal human adult tissues?,yesno,2
437,List symptoms of Meigs' Syndrome.,list,1
438,What is the effect of CRD-BP on the stability of c-myc mRNA?,factoid,3
439,What is the molecular function of psoralen photobinding on DNA?,factoid,3
440,Is progesterone effective for treatment of patients with traumatic brain injury based on clinical trial data?,yesno,2
